DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.42399999999999
1987-03-01,64.736
1987-04-01,65.132
1987-05-01,65.563
1987-06-01,66.071
1987-07-01,66.507
1987-08-01,66.938
1987-09-01,67.33
1987-10-01,67.73899999999999
1987-11-01,68.107
1987-12-01,68.506
1988-01-01,68.858
1988-02-01,69.263
1988-03-01,69.64
1988-04-01,69.977
1988-05-01,70.426
1988-06-01,70.889
1988-07-01,71.354
1988-08-01,71.79899999999999
1988-09-01,72.24
1988-10-01,72.635
1988-11-01,73.071
1988-12-01,73.46600000000001
1989-01-01,73.946
1989-02-01,74.382
1989-03-01,74.778
1989-04-01,75.086
1989-05-01,75.306
1989-06-01,75.479
1989-07-01,75.657
1989-08-01,75.835
1989-09-01,76.056
1989-10-01,76.283
1989-11-01,76.52
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.202
1990-04-01,77.278
1990-05-01,77.297
1990-06-01,77.259
1990-07-01,77.139
1990-08-01,77.009
1990-09-01,76.85
1990-10-01,76.699
1990-11-01,76.369
1990-12-01,76.185
1991-01-01,75.915
1991-02-01,75.734
1991-03-01,75.569
1991-04-01,75.565
1991-05-01,75.764
1991-06-01,75.993
1991-07-01,76.082
1991-08-01,76.109
1991-09-01,76.193
1991-10-01,76.074
1991-11-01,76.013
1991-12-01,76.055
1992-01-01,76.086
1992-02-01,76.155
1992-03-01,76.27600000000001
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.331
1992-07-01,76.263
1992-08-01,76.229
1992-09-01,76.238
1992-10-01,76.375
1992-11-01,76.557
1992-12-01,76.673
1993-01-01,76.783
1993-02-01,76.836
1993-03-01,76.867
1993-04-01,76.935
1993-05-01,77.03699999999999
1993-06-01,77.242
1993-07-01,77.428
1993-08-01,77.612
1993-09-01,77.794
1993-10-01,77.94
1993-11-01,78.14699999999999
1993-12-01,78.325
1994-01-01,78.59
1994-02-01,78.726
1994-03-01,78.855
1994-04-01,78.986
1994-05-01,79.221
1994-06-01,79.421
1994-07-01,79.594
1994-08-01,79.78
1994-09-01,79.918
1994-10-01,80.064
1994-11-01,80.149
1994-12-01,80.295
1995-01-01,80.426
1995-02-01,80.527
1995-03-01,80.597
1995-04-01,80.66
1995-05-01,80.703
1995-06-01,80.78399999999999
1995-07-01,80.936
1995-08-01,81.109
1995-09-01,81.306
1995-10-01,81.48100000000001
1995-11-01,81.618
1995-12-01,81.735
1996-01-01,81.833
1996-02-01,81.95200000000001
1996-03-01,82.193
1996-04-01,82.419
1996-05-01,82.609
1996-06-01,82.751
1996-07-01,82.927
1996-08-01,83.085
1996-09-01,83.255
1996-10-01,83.376
1996-11-01,83.551
1996-12-01,83.72
1997-01-01,83.954
1997-02-01,84.18
1997-03-01,84.45100000000001
1997-04-01,84.62200000000001
1997-05-01,84.86
1997-06-01,85.079
1997-07-01,85.331
1997-08-01,85.572
1997-09-01,85.85
1997-10-01,86.146
1997-11-01,86.632
1997-12-01,87.09200000000001
1998-01-01,87.61399999999999
1998-02-01,88.001
1998-03-01,88.44
1998-04-01,88.87700000000001
1998-05-01,89.363
1998-06-01,89.84299999999999
1998-07-01,90.309
1998-08-01,90.78399999999999
1998-09-01,91.257
1998-10-01,91.71600000000001
1998-11-01,92.198
1998-12-01,92.711
1999-01-01,93.20700000000001
1999-02-01,93.67
1999-03-01,94.21700000000001
1999-04-01,94.78299999999999
1999-05-01,95.34299999999999
1999-06-01,95.97399999999999
1999-07-01,96.59
1999-08-01,97.21799999999999
1999-09-01,97.861
1999-10-01,98.522
1999-11-01,99.15299999999999
1999-12-01,99.84299999999999
2000-01-01,100.551
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92299999999999
2000-05-01,103.678
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.538
2000-10-01,107.382
